record_id,sequence,title,relative_path,edition_date,pages,bytes,content_sha256,origin_locator_digest,status
NFC-DRV-S01,01,De Ocupado a Productivo,drive-pdf-editions/01-de-ocupado-a-productivo--drive-2026-05.pdf,2026-05,11,12229465,5ec4756c5f8c3f3fa8d27cbbcdc234960aaaf1178c69d7d2cdb7781f466f05bb,3fc0b8938fc33ec4e68c442252e2381a69aee5688236abcf939933d757488c44,DRIVE_CANONICAL_EDITION
NFC-DRV-S03,03,Automatismo y Presencia,drive-pdf-editions/03-automatismo-y-presencia--drive-2026-05.pdf,2026-05,11,9232308,d9f87e04d0c186779a7268daa5d1e9ea918153e6fd0d1caf7e1a4d6ebcaaca7b,4db0a8849d1026bdaddafb1b11cedf5589b398dad7966f47b2cfa3310538a2d8,DRIVE_CANONICAL_EDITION
NFC-DRV-S04,04,De entregables que cumplen a entregables de Excelencia,drive-pdf-editions/04-entregables-de-excelencia--drive-2026-05.pdf,2026-05,11,10295107,57e7b6c733babeee200e49b56bb5a6fcc648a084b77871013938cad0b8f7e158,b94c802018b36af455be609548443a945735ae2e53ec5362c537f9752e5c92d6,DRIVE_CANONICAL_EDITION
NFC-DRV-S05,05,De Trabajar Duro a Trabajar Sin Fricción,drive-pdf-editions/05-trabajar-sin-friccion--drive-2026-05.pdf,2026-05,15,17043633,19989eb3c107fb528d42ee2db7da5a03dd9359f15be9a28d1adab8d85bc19a79,53009ec344cf942064978f7bd5e717e6bfbf3a5b2712c50ac293a28b76f31ee8,DRIVE_CANONICAL_EDITION
NFC-DRV-S06,06,Jornadas Estratégicas,drive-pdf-editions/06-jornadas-estrategicas--drive-2026-05.pdf,2026-05,15,14125142,cb44551b17b2f5bce3f742c8ead9495def2df465c0d89a5e7e756ce436a3b3c2,5a1f5db10e48b06f074a8484bec7a8fe403180d3662c3bc637382b24066545d8,DRIVE_CANONICAL_EDITION
NFC-DRV-S07,07,Alto Desempeño y Alto Rendimiento,drive-pdf-editions/07-alto-desempeno-y-rendimiento--drive-2026-05.pdf,2026-05,12,15153976,e01f5f17527580d8fd27b53c3a0549cca6723f632276da435fd71487e0fd19a8,844ec2340cf4a315fe3e572840529e37aba6bb882fc4fe49254888483f25cbf0,DRIVE_CANONICAL_EDITION
NFC-DRV-S08,08,De Bocetos a Prototipos con IA,drive-pdf-editions/08-prototipos-con-ia--drive-2026-06.pdf,2026-06,13,13677487,4e38b7e1a981a0261acba2faabf130cdc2957dde0a6c0b8a841c7d57bec94d76,5e1292aafaf01bc8a4cc39f9efa4b6d07020dd768f930823b37e54eb507c20b7,DRIVE_CANONICAL_EDITION
NFC-DRV-S09,09,Multimedia con IA,drive-pdf-editions/09-multimedia-con-ia--drive-2026-06.pdf,2026-06,13,14127029,e1d55cc794dd764fa6847789651a5a5f618fff34de74c8de158e4749ef309b71,a6e3b6624e51303874b500a99a6304fc97b1a0986886c1dd1dc76a112264e82b,DRIVE_CANONICAL_EDITION
NFC-DRV-S10,10,(Mini) Apps con IA,drive-pdf-editions/10-mini-apps-con-ia--drive-2026-06.pdf,2026-06,13,15560614,0645c8edfbf6341bac13cbd910aa9274bb4c9e36068c5a8a509157dad5070244,02b9ffc202bae26ddca6345d7ce79b0060e602d8b53e05215553b7aa18fadbd2,DRIVE_CANONICAL_EDITION
NFC-DRV-S11,11,Creación de Asistentes y Skills a Medida,drive-pdf-editions/11-asistentes-y-skills-a-medida--drive-2026-06.pdf,2026-06,13,12273586,5774ee2a8e8fdef8679aaaaabe509cbcafbc7d343e081d7fd09b807508284f37,1468f6dec2eaded7e55a655b8e242728643be463abcfc82f5f33af7199d79535,DRIVE_CANONICAL_EDITION
