record_id,sequence,title,relative_path,pages,bytes,content_sha256,origin_locator_digest,status
NFC-STU-00,00,Cómo usar este cuaderno,studio-pdf-candidates/00-como-usar-este-cuaderno--studio-v1.pdf,8,7413875,5ff16f846684db435efacc7d7c6cce93bc4ccfce5af25a0dedfc1d413bc6d7fe,38967bf9147827983b080687c6669cc37cc4bbb97abcca1ea94cc12f67750a72,STUDIO_CANDIDATE
NFC-STU-01,01,Entender lo que planteamos,studio-pdf-candidates/01-entender-lo-que-planteamos--studio-v1.pdf,13,16696730,56c39a8c5eb873847c5416852473022145904ca321e5b40a9bb85764ed26770c,ab3b49adf246e49f4652d9ed28799cf7700aa83b76e428d08254a2d08304b936,STUDIO_CANDIDATE
NFC-STU-02,02,Entender nuestra MetodologIA,studio-pdf-candidates/02-entender-nuestra-metodologia--studio-v1.pdf,15,18605881,0bdf714913c47700ca7783b100886b6951ee923a9a7ad52cb652e42785e2281a,50fe2d425e132d6113681c0d07c90766a2d9f75eab3667067d71795d2ede9fd0,STUDIO_CANDIDATE
NFC-STU-03,03,Zero Friction Prompting,studio-pdf-candidates/03-zero-friction-prompting--studio-v1.pdf,12,9979843,195ff28475f07c995aa6310c314ed7504cdfa1df0531c212ab5670d27fa7ad24,1e45fc201d6134a4b249b7e69bf4729c5669bf7f3eef4a0cc2a5415788550afc,STUDIO_CANDIDATE
NFC-STU-041,04.1,Prompts SPEC y (Meta) Prompting,studio-pdf-candidates/04-1-prompts-spec-y-meta-prompting--studio-v1.pdf,11,9008604,c10dbd8d29e4951c4a3c58de71d5f1f627221a4ea3567d9fcd574bb5670e187b,51dbee5f24909e0a2f2f8f0af9f6eb77319444c5a46efcb619b9a3552f3fcb87,STUDIO_CANDIDATE
NFC-STU-042,04.2,Profundizar en SPEC,studio-pdf-candidates/04-2-profundizar-en-spec--studio-v1.pdf,13,12596309,6cb623b3b72f1ac256482f4e9978978fd04c0310c8d8ba2168e09534aab4bf40,632e138cb61f0b558ace7665b616868cef30f1b4691a7ba0f10143c7cdf34af7,STUDIO_CANDIDATE
NFC-STU-051,05.1,Deep Research Prompting,studio-pdf-candidates/05-1-deep-research-prompting--studio-v1.pdf,13,11740581,14e1ecf4c57e10a9d3fc214831130fac75f8fca098fd52aa30344e9094c4cf21,6038e408ff3b3a29160553ccb12d732837000425f1edbf0240a573d2ef72b0e6,STUDIO_CANDIDATE
NFC-STU-052,05.2,Dominando el Deep Research,studio-pdf-candidates/05-2-dominando-deep-research--studio-v1.pdf,13,11762367,12cdd6f23b8db1f187549f76d64f5100dd6d574e0bd6e9d3b529cb13c24fb540,ef6409d3bc7b1d94e16dfa26f9f32c85f23b997a2c2ee6d510c2049f7076e744,STUDIO_CANDIDATE
NFC-STU-053,05.3,Deep Research para Fundamentar Bases de Conocimiento,studio-pdf-candidates/05-3-deep-research-para-bases-de-conocimiento--studio-v1.pdf,12,11488643,04665c8b94da11159b4f66abf534e69b2f733c98efb3bf58c400615a3648bfc5,fea26480640cd4e7a3a8e06480c8df9898fb7e3b5fc131a5f2f7e4690ba9542f,STUDIO_CANDIDATE
NFC-STU-06,06,Aprender a Aprender con IA,studio-pdf-candidates/06-aprender-a-aprender-con-ia--studio-v1.pdf,13,13178809,b7d6f4751ff03efe31333816cb9914946c37e172738e6d89c13a8b7bb5e62ee3,49cbaf0f14c4da5b7da836eb83d404dca2ef77f26937bfb0a59360fba66c2815,STUDIO_CANDIDATE
